koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_steff_err1,koi_model_snr
0,0,0,49,41.0
1,0,1,171,136.3
0,0,1,169,27.0
0,0,0,115,25.5
0,0,0,291,1252.5
0,0,0,114,267.4
0,1,1,163,270.1
1,0,0,114,37.2
0,0,0,75,71.2
0,0,0,74,53.6
0,1,0,200,184.3
0,0,0,180,29.8
0,1,1,189,187.6
0,0,0,49,27.2
0,0,0,49,24.5
0,0,0,160,24.8
0,0,1,152,20.1
0,0,0,169,105.3
0,1,0,163,39.6
0,1,0,161,298.0
0,1,1,77,154.6
0,1,0,153,882.6
1,0,0,166,195.2
0,0,0,77,76.7
1,0,0,129,249.3
1,0,0,120,60.9
0,0,0,105,29.8
0,0,0,105,17.7
0,0,0,105,15.5
0,0,0,119,42.2
0,0,0,119,36.1
0,0,0,105,38.7
0,1,1,183,115.3
0,1,1,154,103.4
0,1,1,141,182.2
0,1,1,175,148.0
0,0,0,111,243.5
0,0,0,105,38.4
0,0,0,93,48.8
0,1,1,169,59.2
0,0,1,183,34.7
0,1,1,165,58.1
0,0,0,104,38.0
0,0,0,128,38.9
0,0,0,187,27.2
0,0,0,173,71.6
0,0,0,87,28.1
0,0,1,87,14.4
0,0,0,111,79.3
0,0,0,98,41.0
0,0,0,101,26.3
0,0,1,169,121.1
0,0,0,108,1225.3
0,0,0,115,37.3
0,0,0,80,21.6
0,0,0,120,33.4
0,0,0,120,20.9
0,0,0,120,22.8
0,0,1,187,16.5
0,1,0,186,765.0
0,1,0,105,930.3
0,1,1,172,245.6
0,1,0,166,185.0
0,1,1,192,102.8
0,0,0,78,25.3
0,0,0,173,52.8
0,0,0,99,32.4
0,0,0,146,23.0
0,0,0,120,15.7
0,1,1,272,86.2
0,1,1,216,21.0
0,1,0,187,3420.3
0,0,0,179,717.4
0,0,0,103,115.4
0,1,0,184,100.0
0,1,1,80,55.9
0,0,0,184,34.1
0,1,1,164,48.2
1,0,0,169,82.4
0,0,0,76,37.0
0,0,0,146,19.4
0,0,0,87,20.0
0,1,1,159,65.8
0,1,1,154,79.4
0,1,0,119,175.9
0,1,0,172,282.6
0,0,0,189,537.7
0,1,1,215,73.9
0,0,0,83,74.0
0,0,0,184,10.7
0,0,0,184,12.1
0,0,0,98,82.6
0,0,0,168,16.9
0,1,0,170,349.2
0,0,1,174,124.6
0,1,1,161,53.7
0,0,0,123,31.3
0,0,0,123,18.5
0,1,0,72,704.5
0,0,0,80,41.9
0,0,1,163,33.1
0,0,0,112,54.8
0,0,0,83,29.5
0,0,0,106,361.1
0,0,0,83,31.5
0,0,0,83,30.5
0,1,1,182,146.3
1,0,1,153,63.2
1,0,1,197,117.7
0,0,0,78,23.0
0,0,0,175,28.0
0,0,0,85,38.6
0,0,0,112,29.0
0,0,0,108,23.4
0,1,0,87,425.6
0,1,1,160,63.7
0,0,0,168,155.0
0,0,1,152,45.5
0,0,0,76,38.0
0,1,1,182,19.3
0,0,0,175,100.8
1,0,0,121,63.4
0,1,1,186,78.7
0,1,1,145,76.4
0,0,1,157,34.0
0,0,0,171,116.2
0,0,0,155,53.2
0,0,0,112,437.5
0,1,0,105,37.5
0,0,0,184,23.1
1,0,0,75,66.7
0,0,1,181,17.1
0,0,0,185,21.7
0,0,0,75,39.6
0,0,0,103,66.8
0,0,1,161,27.2
0,0,0,106,33.1
0,0,0,71,18.3
0,0,1,169,26.7
0,0,0,83,50.7
0,0,0,159,156.5
0,0,0,169,28.9
0,1,1,189,36.7
0,1,0,181,2561.1
0,0,1,189,63.0
0,0,0,131,35.9
0,0,0,79,50.4
0,1,1,155,44.3
0,0,0,79,19.0
0,0,0,79,16.2
0,0,0,79,16.5
0,0,0,121,14.3
0,0,0,104,38.7
0,0,0,110,25.6
0,0,0,147,35.6
0,0,0,162,66.7
0,0,0,148,116.2
0,0,0,112,456.8
0,0,1,158,43.0
0,0,0,166,46.0
0,0,1,140,17.4
0,0,0,194,170.1
0,0,1,152,34.7
